Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeff Adrien,PF,25,HOU,8,0,63,4,9.1,0.438,0,0,,4,9.1,0.438,4,6.9,0.583,2.9,9.7,12.6,0.6,0,1.1,1.1,7.4,12
2,Arron Afflalo,SG,26,DEN,62,62,2086,5.7,12.1,0.471,1.5,3.8,0.398,4.2,8.2,0.504,3.4,4.3,0.798,0.7,2.7,3.4,2.6,0.6,0.2,1.5,2.3,16.3
3,Blake Ahearn,PG,27,UTA,4,0,30,4.8,16.8,0.286,2.4,10.8,0.222,2.4,6,0.4,0,0,,0,2.4,2.4,1.2,0,0,6,4.8,12
4,Solomon Alabi,C,23,TOR,14,0,122,3.8,10.6,0.361,0,0,,3.8,10.6,0.361,2.1,2.4,0.875,4.4,9.4,13.9,0.9,0.6,2.7,1.5,3.2,9.7
5,Cole Aldrich,C,23,OKC,26,0,173,4.6,8.7,0.524,0,0,,4.6,8.7,0.524,2.7,2.9,0.929,2.7,7.3,10,0.6,1.7,3.3,1.9,4.6,11.9
6,LaMarcus Aldridge,PF,26,POR,55,55,1994,8.7,17,0.512,0,0.2,0.182,8.7,16.8,0.516,4,4.9,0.814,2.7,5.3,8,2.4,0.9,0.8,2,2.8,21.5
7,Lavoy Allen,PF,22,PHI,41,15,624,4.6,9.6,0.473,0,0,,4.6,9.6,0.473,0.6,0.8,0.786,2.7,7.2,9.9,2,0.7,1,1.2,4.2,9.7
8,Ray Allen*,SG,36,BOS,46,42,1565,5.2,11.3,0.458,2.4,5.4,0.453,2.8,6,0.463,2.2,2.4,0.915,0.3,2.9,3.3,2.5,1.1,0.2,1.6,1.9,15.1
9,Tony Allen,SG,30,MEM,58,57,1525,5,10.6,0.469,0.2,0.6,0.308,4.8,10,0.479,3.3,4.1,0.8,2.3,3.2,5.5,1.9,2.5,0.8,2.2,3.4,13.4
10,Morris Almond,SG,26,WAS,4,0,67,3.2,9.1,0.353,0.5,1.6,0.333,2.7,7.5,0.357,0.5,1.6,0.333,0.5,3.8,4.3,1.1,3.8,0,0.5,3.2,7.5
11,Al-Farouq Aminu,SF,21,NOH,66,21,1477,3.7,8.9,0.411,0.3,1.1,0.277,3.3,7.8,0.431,2.1,2.8,0.754,2.3,5.2,7.5,1.6,1.4,0.8,2.2,3.3,9.7
12,Lou Amundson,PF,29,IND,60,0,753,4.3,9.9,0.43,0,0,,4.3,9.9,0.43,1.7,3.9,0.427,4.5,6.1,10.6,0.7,1.3,2.1,2.2,6,10.2
13,Chris Andersen,C,33,DEN,32,1,486,4.4,8,0.546,0,0,,4.4,8,0.546,3.7,6.1,0.61,3.6,7.4,11,0.4,1.4,3.4,1.3,3.9,12.4
14,Alan Anderson,SF,29,TOR,17,12,461,4.3,11.1,0.387,1.9,4.8,0.393,2.4,6.3,0.383,2.3,2.7,0.853,0.6,2,2.7,2,0.4,0.2,2,2.7,12.7
15,James Anderson,SG,22,SAS,51,2,603,3.9,10.4,0.379,1.1,4.1,0.279,2.8,6.3,0.443,2.3,3.1,0.75,1,3.8,4.7,2.4,0.5,0.1,1.8,2.1,11.3
16,Ryan Anderson,PF,23,ORL,61,61,1964,6.1,13.9,0.439,3,7.7,0.393,3,6.1,0.496,2.7,3.1,0.877,4.1,4.5,8.6,1,0.9,0.5,1,2.7,18
17,Carmelo Anthony,SF,27,NYK,55,55,1876,8.5,19.7,0.43,1.3,3.9,0.335,7.2,15.8,0.454,5.7,7,0.804,1.7,4.9,6.6,3.8,1.2,0.5,2.8,3,23.9
18,Joel Anthony,C,29,MIA,64,51,1349,2.3,4.1,0.559,0,0,,2.3,4.1,0.559,1.3,1.9,0.69,2.7,4,6.7,0.2,1,2.2,1.2,3.4,5.8
19,Gilbert Arenas,PG,30,MEM,17,0,211,4.4,10.9,0.406,2.2,6.7,0.333,2.2,4.3,0.52,1.2,1.7,0.7,0.3,2.7,3.1,3.1,1.9,0.2,2,6,12.3
20,Trevor Ariza,SF,26,NOH,41,41,1350,4.5,10.7,0.417,0.8,2.3,0.333,3.7,8.4,0.44,2.1,2.7,0.775,1.1,4.6,5.7,3.6,1.8,0.7,2,1.9,11.8
21,Ömer A_ık,C,25,CHI,66,2,971,2.9,5.8,0.506,0,0,,2.9,5.8,0.506,1.7,3.8,0.456,4.7,8.3,13,1.2,1.1,2.5,2.5,4.5,7.6
22,D.J. Augustin,PG,24,CHA,48,46,1408,4.7,12.5,0.376,1.6,4.6,0.341,3.1,7.9,0.396,2.7,3.1,0.875,0.6,2.2,2.8,7.8,0.9,0,2.8,1.7,13.6
23,Gustavo Ayón,PF,26,NOH,54,24,1088,4.6,8.6,0.536,0,0,0,4.6,8.6,0.538,1.3,2.1,0.619,2.8,5.9,8.8,2.4,1.8,1.5,1.5,3.9,10.6
24,Jeff Ayres,C,24,IND,20,1,106,5.1,12.2,0.417,0,0,,5.1,12.2,0.417,1.4,2.4,0.571,4.1,7.1,11.2,1.4,1,0.7,0.7,5.4,11.5
25,Kelenna Azubuike,SG,28,DAL,3,0,18,6,16,0.375,2,6,0.333,4,10,0.4,0,0,,0,0,0,0,2,0,8,2,14
26,Luke Babbitt,SF,22,POR,40,4,537,4.8,11.6,0.41,2.9,6.7,0.43,1.9,4.9,0.384,1.1,1.3,0.85,1.1,5.3,6.4,1.1,0.7,0.3,1.8,3.1,13.5
27,Renaldo Balkman,SF,27,NYK,14,0,115,5,10,0.5,0.6,2.8,0.222,4.4,7.2,0.609,2.5,3.4,0.727,1.9,6.3,8.1,1.6,1.3,0.9,1.9,4.4,13.1
28,Leandro Barbosa,SG,29,TOT,64,0,1382,7.1,16.6,0.425,1.7,4.4,0.382,5.4,12.2,0.441,2.6,3.2,0.815,0.9,2.5,3.3,2.5,1.5,0.2,2.4,3.5,18.4
29,J.J. Barea,PG,27,MIN,41,11,1032,5.8,14.6,0.4,1.8,5,0.371,4,9.6,0.415,2.7,3.4,0.776,0.5,3.5,4,8.1,0.7,0,3.6,2.1,16.2
30,Andrea Bargnani,C,26,TOR,31,31,1032,7.3,16.9,0.432,1.2,4,0.296,6.1,12.9,0.474,5.3,6,0.873,0.8,5.2,6,2.1,0.6,0.5,2.4,1.8,21
31,Matt Barnes,SF,31,LAL,63,16,1440,4.4,9.7,0.452,1.1,3.4,0.333,3.2,6.2,0.518,2.4,3.2,0.742,2.4,6.2,8.6,3.2,0.9,1.2,1.8,3.8,12.3
32,Earl Barron,C,30,GSW,2,0,9,8,16,0.5,0,0,,8,16,0.5,0,0,,4,0,4,0,0,0,0,20,16
33,Brandon Bass,PF,26,BOS,59,39,1868,5.8,12.2,0.479,0,0,,5.8,12.2,0.479,2.5,3.1,0.81,1.8,5.2,7,1.1,0.7,1,1.3,2.6,14.2
34,Tony Battie,C,35,PHI,27,11,295,2.3,6.2,0.373,0,0.1,0,2.3,6.1,0.38,0.5,0.5,1,1,7.2,8.2,2,0.5,0.7,0.5,3.2,5.1
35,Shane Battier,SF,33,MIA,65,10,1499,2.7,7,0.387,1.5,4.4,0.339,1.2,2.6,0.468,0.6,0.9,0.622,1.3,2.4,3.7,2,1.5,0.8,0.9,2.5,7.5
36,Nicolas Batum,SF,23,POR,59,34,1791,5.8,12.9,0.451,2.2,5.5,0.391,3.7,7.4,0.496,2.7,3.2,0.836,1.6,3.8,5.4,1.7,1.1,1.2,1.8,2.1,16.4
37,Jerryd Bayless,PG,23,TOR,31,11,705,6,14.1,0.424,2.2,5.3,0.423,3.7,8.8,0.424,3.8,4.5,0.852,0.4,3,3.4,6,1.2,0.2,2.7,3.6,18
38,Michael Beasley,SF,23,MIN,47,7,1087,7.3,16.5,0.445,1.3,3.3,0.376,6.1,13.1,0.462,2,3.1,0.642,1.3,5.6,6.9,1.5,0.6,0.6,2.6,2.7,17.9
39,Rodrigue Beaubois,PG,23,DAL,53,12,1151,5.9,13.9,0.422,1.2,4.1,0.288,4.7,9.8,0.479,1.8,2.2,0.841,0.6,4.1,4.7,4.8,1.8,0.9,2.2,3.1,14.8
40,Marco Belinelli,SG,25,NOH,66,55,1966,5.2,12.6,0.417,2,5.2,0.377,3.3,7.4,0.445,1.8,2.4,0.783,0.3,2.8,3.1,1.8,0.9,0.1,1.3,2.1,14.3
41,Raja Bell,SG,35,UTA,34,33,796,3.7,7.9,0.466,1.5,3.9,0.391,2.1,3.9,0.54,0.9,1.1,0.84,0.3,1.9,2.2,1.7,0.6,0.1,0.9,3.5,9.8
42,Keith Benson,C,23,GSW,3,0,9,0,4,0,0,0,,0,4,0,0,0,,8,4,12,0,0,0,0,0,0
43,Mike Bibby,PG,33,NYK,39,4,557,2.3,8,0.282,1.7,5.5,0.318,0.5,2.5,0.205,0.4,0.5,0.75,0.3,3.5,3.8,5.2,1.4,0.2,1.3,2.9,6.7
44,Andris Biedri__,C,25,GSW,47,35,739,1.9,3.1,0.609,0,0,,1.9,3.1,0.609,0,0.4,0.111,2.2,6.4,8.6,0.8,1.1,2.2,0.7,6.1,3.8
45,Chauncey Billups,SG,35,LAC,20,20,607,4.9,13.5,0.364,2.8,7.4,0.384,2.1,6.1,0.34,5,5.6,0.895,0.2,2.7,3,4.7,0.5,0.2,2.3,2.4,17.7
46,Bismack Biyombo,C,19,CHA,63,41,1455,3.2,6.9,0.464,0,0,,3.2,6.9,0.464,1.7,3.5,0.483,2.8,6.3,9.1,0.7,0.5,2.8,1.8,3.6,8.1
47,DeJuan Blair,PF,22,SAS,64,62,1363,7.1,13.3,0.534,0,0,0,7.1,13.3,0.535,1.9,3.1,0.613,4.1,5.2,9.3,2.1,1.6,0.3,2.4,4.4,16.1
48,Steve Blake,PG,31,LAL,53,5,1237,2.9,7.8,0.377,1.5,4.6,0.335,1.4,3.2,0.436,0.6,0.8,0.778,0.3,2.2,2.5,5.1,1.1,0.1,2.1,2.2,8
49,Andray Blatche,PF,25,WAS,26,13,626,5.3,14.1,0.38,0.1,0.4,0.286,5.2,13.7,0.382,1.9,2.8,0.673,2.4,6.2,8.6,1.6,1.2,1,2.1,3.1,12.7
50,Eric Bledsoe,PG,22,LAC,40,1,464,3.8,9.8,0.389,0.5,2.3,0.2,3.3,7.4,0.448,2.2,3.4,0.636,1.7,3.3,5,5.1,2.4,1.1,3.6,4.5,10.2
51,Keith Bogans,SF,31,NJN,5,1,94,3.1,8,0.381,1.1,4.6,0.25,1.9,3.4,0.556,0.8,1.9,0.4,1.9,2.3,4.2,1.1,0.8,0,1.1,5.7,8
52,Andrew Bogut,C,27,MIL,12,12,364,6,13.5,0.449,0,0.1,0,6,13.4,0.452,1.4,2.3,0.609,2.2,7.7,9.9,3.1,1.2,2.4,2.4,3.6,13.5
53,Matt Bonner,PF,31,SAS,65,2,1326,4.2,9.5,0.44,2.9,6.8,0.42,1.3,2.7,0.49,0.4,0.6,0.762,0.8,5,5.8,1.7,0.4,0.6,0.4,1.8,11.6
54,Trevor Booker,PF,24,WAS,50,32,1261,5.2,9.7,0.531,0,0.1,0.5,5.1,9.7,0.531,1.6,2.7,0.602,3.4,5.9,9.3,1.1,1.4,1.2,1.7,3.9,12
55,Carlos Boozer,PF,30,CHI,66,66,1948,8.3,15.6,0.532,0,0,0,8.3,15.5,0.533,1.8,2.5,0.693,2.1,8.3,10.4,2.3,1.2,0.4,2.1,3.1,18.3
56,Chris Bosh,PF,27,MIA,57,57,2007,7,14.5,0.487,0.2,0.6,0.286,6.9,13.8,0.496,4.1,5,0.821,1.7,6.4,8.1,1.8,0.9,0.8,2.1,2.3,18.4
57,Earl Boykins,PG,35,HOU,8,0,111,3.9,11.7,0.333,0.6,2.9,0.222,3.2,8.8,0.37,4.2,4.9,0.867,0,3.6,3.6,5.5,0.3,0,2.3,1.6,12.6
58,Craig Brackins,PF,24,PHI,14,1,88,3.7,13.5,0.273,1.2,3.7,0.333,2.5,9.8,0.25,0.4,0.8,0.5,2,4.1,6.1,3.3,0,0.4,1.6,2.5,9
